edge_id,source_node,destination_node,weight
1,694,697,71
2,923,406,64
3,1079,1615,44
4,1353,243,59
5,1059,1822,96
6,194,1172,65
7,870,517,98
8,332,1728,83
9,1031,226,6
10,1499,1388,26
11,52,929,28
12,1647,776,49
13,352,950,85
14,1624,1035,19
15,415,1161,31
16,1318,907,32
17,192,1212,75
18,1778,441,46
19,1029,533,79
20,284,689,33
21,898,708,45
22,119,48,94
23,1261,663,77
24,1665,1731,83
25,1098,513,65
26,826,311,56
27,443,990,82
28,1136,817,37
29,922,585,12
30,1043,734,30
31,501,883,48
32,1908,806,19
33,1099,583,81
34,340,844,62
35,1480,1793,29
36,1230,585,63
37,421,399,39
38,454,77,53
39,890,1376,14
40,912,1937,49
41,926,1786,12
42,1395,525,25
43,607,1724,43
44,830,1746,16
45,1963,1094,80
46,628,394,9
47,1244,1963,8
48,532,404,25
49,919,1316,91
50,1163,347,16
51,196,236,33
52,250,1474,34
53,678,1530,81
54,1484,574,24
55,375,616,97
56,1913,1709,43
57,905,102,90
58,683,21,7
59,217,917,96
60,908,743,52
61,727,662,58
62,1658,903,78
63,983,299,30
64,1832,1524,10
65,29,1783,44
66,797,1495,56
67,942,1451,25
68,1786,1645,46
69,1402,405,91
70,1884,1960,12
71,861,1860,38
72,1997,1837,61
73,456,701,11
74,578,478,36
75,1857,1311,51
76,969,1902,33
77,1309,735,88
78,542,1461,84
79,2,980,47
80,1518,916,6
81,1369,775,88
82,506,1231,35
83,1498,1575,70
84,178,748,62
85,1782,1293,58
86,1708,1189,43
87,530,192,69
88,263,1212,65
89,713,1755,35
90,1908,1637,26
91,1393,1581,86
92,1880,225,75
93,753,1307,18
94,1458,462,96
95,285,1621,64
96,1390,1199,91
97,1513,100,98
98,1504,1634,83
99,1396,1998,90
100,1023,1703,73
101,121,266,50
102,37,1283,19
103,1662,1403,6
104,1938,1601,13
105,142,141,18
106,979,54,68
107,497,488,49
108,1272,1518,89
109,308,224,14
110,303,928,87
111,1868,149,59
112,1258,864,30
113,134,1035,41
114,762,1488,59
115,1300,1042,67
116,1412,1138,73
117,1850,889,47
118,1818,398,30
119,1478,1787,28
120,1146,224,84
121,1739,1647,53
122,151,1700,7
123,1121,1471,99
124,1539,1725,5
125,866,304,48
126,1702,1740,80
127,740,922,23
128,1183,747,13
129,676,830,10
130,110,190,34
131,534,806,25
132,1713,1287,66
133,612,1177,7
134,709,1400,46
135,154,156,20
136,1120,649,94
137,1466,1681,5
138,990,929,84
139,1578,870,81
140,1478,535,16
141,1605,1298,84
142,473,1345,67
143,493,548,64
144,646,1455,68
145,318,1579,49
146,1966,1006,58
147,649,1846,65
148,857,447,84
149,979,1901,31
150,1136,1976,27
151,430,735,23
152,1709,1398,93
153,1110,1965,28
154,587,1446,74
155,993,568,93
156,1593,387,59
157,609,1583,9
158,1677,131,82
159,1719,1726,74
160,189,522,7
161,656,1146,88
162,1372,1574,88
163,35,921,28
164,1731,1159,33
165,1527,1831,32
166,1374,1150,82
167,685,545,36
168,1707,529,77
169,36,1604,95
170,754,28,94
171,1312,921,36
172,572,858,32
173,302,1784,5
174,708,1502,70
175,423,1959,29
176,734,105,20
177,1290,1488,79
178,1386,218,49
179,12,1258,16
180,1491,695,52
181,927,1628,69
182,1906,1453,78
183,1380,255,58
184,914,1162,55
185,1851,53,38
186,1398,856,8
187,1854,1014,76
188,506,1,28
189,433,703,15
190,971,206,10
191,1966,1479,76
192,1050,755,34
193,853,393,71
194,1848,1021,79
195,755,1082,59
196,484,981,74
197,326,1266,69
198,960,743,44
199,1944,1215,16
200,1563,1090,41
201,537,398,22
202,698,356,85
203,1357,1731,32
204,1712,819,50
205,319,731,38
206,1293,374,99
207,821,137,15
208,698,826,6
209,1686,331,33
210,1987,145,41
211,1390,653,56
212,1511,273,44
213,1345,224,56
214,760,539,24
215,450,1011,85
